thinkBack: Stock quote and option quote for SNDK on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
69.86,-.94,"4,786,373",69.98,70.33,69.31

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.14,.13,-.05,.01,.00,.12,26.85%,12.98%,87.02%,28.62%,1,347,0,.115,.10,.13,NOV1 13,71.5,1.94,2.01,-.90,.12,-.12,.01,-.01,1.98,22.50%,91.00%,9.00%,20.03%,20,22,1.64,.335
.10,.10,-.04,.01,.00,.08,28.53%,9.15%,90.85%,19.91%,50,311,0,.08,.06,.10,NOV1 13,72,2.40,2.46,-.96,.06,-.10,.00,-.01,2.43,20.39%,96.81%,3.19%,7.02%,10,88,2.14,.29
.07,.07,-.04,.01,.00,.06,29.94%,6.36%,93.64%,13.72%,104,212,0,.055,.04,.07,NOV1 13,72.5,2.87,2.94,-1.00,.00,3.64,-36.40,.00,2.91,0.11%,100.00%,0.00%,0.00%,0,76,2.64,.265
.04,.05,-.03,.01,.00,.04,30.79%,4.18%,95.82%,8.95%,1,50,0,.035,.02,.05,NOV1 13,73,3.35,3.45,-1.00,.00,4.14,-41.40,.00,3.14,0.11%,100.00%,0.00%,0.00%,0,116,3.14,.26

NOV2 13  (9)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.89,.09,-.02,.02,.01,3.45,27.33%,84.05%,15.95%,30.46%,15,54,3.36,.09,3.40,3.50,NOV2 13,66.5,.26,.29,-.16,.07,-.04,.03,.00,.28,28.36%,16.88%,83.12%,32.25%,24,209,0,.275
.84,.10,-.03,.03,.01,3.02,27.03%,79.97%,20.03%,38.13%,0,114,2.86,.155,2.98,3.05,NOV2 13,67,.35,.37,-.20,.09,-.05,.03,.00,.36,28.04%,20.94%,79.06%,39.87%,0,106,0,.36
.78,.11,-.03,.03,.01,2.62,27.22%,74.84%,25.16%,47.75%,2,122,2.36,.26,2.59,2.65,NOV2 13,67.5,.45,.48,-.24,.10,-.05,.04,.00,.47,27.72%,25.57%,74.43%,48.54%,22,85,0,.465
.72,.12,-.04,.04,.01,2.26,27.37%,69.23%,30.77%,58.19%,2,15,1.86,.395,2.22,2.29,NOV2 13,68,.58,.61,-.29,.11,-.06,.04,-.01,.60,27.44%,30.82%,69.18%,58.28%,15,200,0,.595
.66,.13,-.04,.04,.01,1.91,27.24%,63.41%,36.59%,68.94%,5,23,1.36,.55,1.88,1.94,NOV2 13,68.5,.74,.77,-.35,.12,-.06,.04,-.01,.76,27.23%,36.59%,63.41%,68.94%,20,171,0,.755
.60,.13,-.05,.04,.01,1.60,27.06%,57.25%,42.75%,80.20%,1,172,.86,.735,1.58,1.61,NOV2 13,69,.93,.97,-.41,.12,-.07,.04,-.01,.95,27.16%,42.78%,57.22%,80.26%,0,83,0,.95
.53,.13,-.05,.05,.01,1.32,27.05%,50.86%,49.14%,91.77%,28,92,.36,.96,1.30,1.34,NOV2 13,69.5,1.15,1.19,-.47,.13,-.07,.05,-.01,1.17,26.94%,49.13%,50.87%,91.73%,27,29,0,1.17
.47,.13,-.05,.05,.01,1.08,27.07%,44.49%,55.51%,96.02%,281,980,0,1.08,1.07,1.09,NOV2 13,70,1.40,1.44,-.54,.13,-.07,.05,-.01,1.42,26.69%,55.56%,44.44%,95.96%,23,153,.14,1.28
.40,.13,-.05,.04,.01,.87,26.94%,38.26%,61.74%,82.14%,10,94,0,.865,.85,.88,NOV2 13,70.5,1.67,1.74,-.60,.13,-.07,.04,-.01,1.71,26.50%,61.90%,38.10%,81.83%,0,1,.64,1.065
.34,.12,-.05,.04,.01,.69,27.00%,32.41%,67.59%,69.24%,2,107,0,.69,.67,.71,NOV2 13,71,2.01,2.06,-.66,.12,-.07,.04,-.01,2.04,26.62%,67.80%,32.20%,68.81%,0,18,1.14,.895
.29,.11,-.05,.04,.01,.55,27.11%,27.05%,72.95%,57.54%,10,181,0,.545,.53,.56,NOV2 13,71.5,2.36,2.42,-.71,.11,-.07,.04,-.01,2.39,26.68%,73.25%,26.75%,56.92%,11,19,1.64,.75
.24,.10,-.04,.04,.00,.43,27.20%,22.24%,77.76%,47.12%,3,154,0,.425,.41,.44,NOV2 13,72,2.73,2.81,-.77,.10,-.06,.04,-.02,2.77,26.71%,78.15%,21.85%,46.31%,0,24,2.14,.63
.19,.09,-.04,.03,.00,.33,27.38%,18.09%,81.91%,38.18%,0,163,0,.33,.32,.34,NOV2 13,72.5,3.00,3.30,-.82,.09,-.06,.03,-.02,3.15,26.00%,83.10%,16.90%,35.70%,0,0,2.64,.51
.07,.04,-.02,.02,.00,.11,29.91%,6.37%,93.63%,13.28%,0,0,0,.105,.06,.15,NOV2 13,75,4.75,5.95,-1.00,.00,.00,2.23,.00,5.14,0.06%,100.00%,0.00%,0.00%,0,0,5.14,.21

NOV 13  (16)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.00,17.36,--,100.00%,0.00%,,0,94,17.36,-.21,15.20,19.10,NOV 13,52.5,.01,.02,-.01,.00,.00,.00,.00,.02,52.98%,0.79%,99.21%,1.53%,0,341,0,.015
1.00,.00,.00,.00,.00,14.86,--,100.00%,0.00%,,1,280,14.86,-.035,14.75,14.90,NOV 13,55,0,.02,.00,.00,.00,.00,.00,.01,43.09%,0.63%,99.37%,1.23%,0,954,0,.01
1.00,.00,.00,.00,.00,12.36,--,100.00%,0.00%,,"1,207",706,12.36,-.01,12.30,12.40,NOV 13,57.5,0,.02,-.01,.00,.00,.00,.00,.01,35.70%,0.71%,99.29%,1.39%,5,"1,162",0,.01
1.00,.00,.00,.00,.00,9.86,--,100.00%,0.00%,,"5,630","1,908",9.86,-.01,9.80,9.90,NOV 13,60,.02,.05,-.02,.01,-.01,.01,.00,.04,33.74%,2.21%,97.79%,4.30%,730,"3,972",0,.035
1.00,.00,.00,.00,.00,7.36,--,100.00%,0.00%,,"1,179","2,237",7.36,-.01,7.30,7.40,NOV 13,62.5,.07,.10,-.04,.02,-.01,.01,.00,.09,30.12%,5.11%,94.89%,9.91%,11,"2,641",0,.085
.92,.05,-.01,.02,.01,4.92,26.02%,88.54%,11.46%,22.07%,422,"1,481",4.86,.065,4.85,5.00,NOV 13,65,.26,.28,-.12,.05,-.03,.03,.00,.27,28.47%,13.71%,86.29%,26.37%,150,"2,216",0,.27
.72,.09,-.03,.05,.02,2.93,27.33%,69.20%,30.80%,58.65%,129,"1,465",2.36,.57,2.89,2.97,NOV 13,67.5,.75,.78,-.29,.08,-.04,.05,-.01,.77,27.41%,30.85%,69.15%,58.75%,197,"1,960",0,.765
.48,.10,-.04,.06,.01,1.45,26.89%,45.38%,54.62%,96.97%,579,"3,028",0,1.45,1.43,1.47,NOV 13,70,1.78,1.81,-.52,.10,-.05,.06,-.02,1.80,26.85%,54.62%,45.38%,96.96%,235,"2,570",.14,1.655
.25,.08,-.03,.05,.01,.59,26.73%,23.43%,76.57%,49.28%,626,899,0,.59,.58,.60,NOV 13,72.5,3.40,3.50,-.74,.08,-.05,.05,-.03,3.45,26.91%,76.44%,23.56%,49.57%,1,43,2.64,.81
.11,.05,-.02,.03,.00,.21,27.05%,9.72%,90.28%,20.23%,440,"1,403",0,.205,.19,.22,NOV 13,75,5.50,5.60,-.89,.04,-.03,.03,-.03,5.55,26.81%,90.48%,9.52%,19.83%,0,125,5.14,.41
.04,.02,-.01,.01,.00,.07,28.11%,3.66%,96.34%,7.57%,10,56,0,.07,.06,.08,NOV 13,77.5,7.30,8.85,-.91,.03,-.04,.02,-.03,8.08,36.13%,92.07%,7.93%,16.47%,0,0,7.64,.435
.02,.01,-.01,.01,.00,.03,29.58%,1.38%,98.62%,2.84%,1,7,0,.025,.01,.04,NOV 13,80,8.90,11.40,-1.00,.00,-.01,.00,-.04,10.14,0.05%,100.00%,0.00%,0.00%,0,0,10.14,.01
.01,.00,.00,.00,.00,.02,39.16%,0.82%,99.18%,1.68%,0,0,0,.02,0,.04,NOV 13,85,13.70,17.00,-1.00,.00,-.22,2.11,.00,15.14,0.05%,100.00%,0.00%,0.00%,0,0,15.14,.21
.00,.00,.00,.00,.00,.01,45.10%,0.36%,99.64%,0.75%,0,0,0,.01,0,.02,NOV 13,90,18.25,22.35,-1.00,.00,-.01,.00,-.04,20.14,0.04%,100.00%,0.00%,0.00%,0,0,20.14,.16

NOV4 13  (23)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.77,.07,-.03,.05,.03,3.90,27.10%,73.72%,26.28%,50.35%,0,15,3.36,.54,3.85,3.95,NOV4 13,66.5,.76,.78,-.25,.06,-.03,.06,-.01,.77,28.16%,27.16%,72.84%,52.01%,2,27,0,.77
.73,.07,-.03,.06,.03,3.55,27.35%,69.89%,30.11%,57.56%,0,52,2.86,.69,3.50,3.60,NOV4 13,67,.89,.92,-.28,.07,-.04,.06,-.01,.91,28.00%,30.59%,69.41%,58.46%,3,40,0,.905
.69,.08,-.03,.06,.03,3.20,27.25%,66.17%,33.83%,64.55%,0,2,2.36,.84,3.15,3.25,NOV4 13,67.5,1.04,1.07,-.31,.07,-.04,.06,-.02,1.06,27.81%,34.19%,65.81%,65.23%,0,70,0,1.055
.65,.08,-.03,.07,.02,2.88,27.23%,62.23%,37.77%,71.91%,0,77,1.86,1.015,2.85,2.90,NOV4 13,68,1.21,1.24,-.35,.07,-.04,.07,-.02,1.23,27.65%,37.98%,62.02%,72.32%,0,2,0,1.225
.61,.08,-.03,.07,.02,2.57,27.14%,58.22%,41.78%,79.37%,10,432,1.36,1.205,2.55,2.58,NOV4 13,68.5,1.40,1.43,-.39,.08,-.04,.07,-.02,1.42,27.50%,41.92%,58.08%,79.64%,2,101,0,1.415
.57,.08,-.03,.07,.02,2.28,27.12%,54.11%,45.89%,86.98%,5,37,.86,1.42,2.26,2.30,NOV4 13,69,1.60,1.64,-.43,.08,-.04,.07,-.02,1.62,27.30%,45.93%,54.07%,87.06%,11,41,0,1.62
.53,.08,-.04,.07,.02,2.02,27.14%,49.97%,50.03%,94.59%,4,357,.36,1.66,1.99,2.05,NOV4 13,69.5,1.83,1.87,-.47,.08,-.04,.07,-.02,1.85,27.15%,50.03%,49.97%,94.59%,6,30,0,1.85
.49,.08,-.04,.07,.02,1.76,26.87%,45.86%,54.14%,97.46%,17,196,0,1.76,1.74,1.78,NOV4 13,70,2.08,2.12,-.51,.08,-.04,.07,-.02,2.10,27.01%,54.14%,45.86%,97.48%,9,270,.14,1.96
.45,.08,-.04,.07,.02,1.54,26.87%,41.79%,58.21%,88.56%,0,69,0,1.54,1.52,1.56,NOV4 13,70.5,2.36,2.40,-.55,.08,-.04,.07,-.03,2.38,27.00%,58.19%,41.81%,88.61%,0,67,.64,1.74
.41,.08,-.04,.07,.02,1.35,26.94%,37.85%,62.15%,80.01%,3,27,0,1.345,1.32,1.37,NOV4 13,71,2.65,2.69,-.59,.08,-.04,.07,-.03,2.67,26.84%,62.18%,37.82%,79.94%,5,18,1.14,1.53
.37,.08,-.03,.07,.02,1.15,26.72%,33.95%,66.05%,71.59%,2,50,0,1.15,1.13,1.17,NOV4 13,71.5,2.95,3.05,-.63,.08,-.04,.07,-.03,3.00,26.98%,65.92%,34.08%,71.85%,0,0,1.64,1.36
.33,.08,-.03,.06,.01,.99,26.66%,30.28%,69.72%,63.69%,12,12,0,.985,.97,1.00,NOV4 13,72,3.30,3.35,-.67,.08,-.04,.06,-.03,3.33,26.77%,69.66%,30.34%,63.83%,0,38,2.14,1.185
.29,.07,-.03,.06,.01,.84,26.64%,26.82%,73.18%,56.30%,12,72,0,.84,.82,.86,NOV4 13,72.5,3.60,3.75,-.71,.07,-.04,.06,-.03,3.68,26.66%,73.16%,26.84%,56.34%,0,0,2.64,1.035
.26,.07,-.03,.06,.01,.72,26.65%,23.62%,76.38%,49.48%,14,25,0,.715,.70,.73,NOV4 13,73,3.85,4.15,-.75,.07,-.04,.06,-.04,4.00,25.80%,77.03%,22.97%,48.10%,0,0,3.14,.86

NOV5 13  (30)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.74,.06,-.02,.07,.03,4.10,27.12%,70.76%,29.24%,55.85%,0,33,3.36,.74,4.05,4.15,NOV5 13,66.5,.90,.95,-.26,.06,-.03,.07,-.02,.93,27.09%,29.21%,70.79%,55.80%,3,0,0,.925
.71,.07,-.03,.07,.03,3.73,26.76%,67.68%,32.32%,61.62%,0,0,2.86,.865,3.65,3.80,NOV5 13,67,1.05,1.09,-.30,.06,-.03,.07,-.02,1.07,26.95%,32.46%,67.54%,61.89%,68,727,0,1.07
.67,.07,-.03,.07,.03,3.40,26.86%,64.12%,35.88%,68.28%,0,0,2.36,1.04,3.30,3.50,NOV5 13,67.5,1.21,1.28,-.33,.07,-.03,.07,-.02,1.25,27.01%,35.97%,64.03%,68.45%,0,0,0,1.245
.64,.07,-.03,.08,.03,3.05,26.40%,60.78%,39.22%,74.51%,0,21,1.86,1.19,3.00,3.10,NOV5 13,68,1.39,1.46,-.36,.07,-.04,.08,-.02,1.43,26.90%,39.47%,60.53%,74.98%,0,0,0,1.425
.60,.07,-.03,.08,.03,2.77,26.61%,56.99%,43.01%,81.52%,0,0,1.36,1.41,2.70,2.84,NOV5 13,68.5,1.58,1.63,-.40,.07,-.04,.08,-.02,1.61,26.56%,42.99%,57.01%,81.49%,0,33,0,1.605
.57,.07,-.03,.08,.03,2.49,26.53%,53.30%,46.70%,88.32%,0,5,.86,1.625,2.46,2.51,NOV5 13,69,1.80,1.86,-.43,.07,-.04,.08,-.03,1.83,26.57%,46.71%,53.29%,88.34%,3,0,0,1.83
.53,.08,-.03,.08,.03,2.22,26.38%,49.59%,50.41%,95.12%,0,0,.36,1.855,2.17,2.26,NOV5 13,69.5,2.04,2.08,-.47,.07,-.04,.08,-.03,2.06,26.41%,50.41%,49.59%,95.12%,0,10,0,2.06
.49,.08,-.03,.08,.03,1.98,26.38%,45.88%,54.12%,97.72%,5,24,0,1.975,1.96,1.99,NOV5 13,70,2.29,2.33,-.51,.07,-.04,.08,-.03,2.31,26.27%,54.12%,45.88%,97.71%,1,0,.14,2.17
.45,.07,-.03,.08,.02,1.74,26.27%,42.21%,57.79%,89.66%,10,20,0,1.745,1.72,1.77,NOV5 13,70.5,2.55,2.64,-.55,.07,-.04,.08,-.03,2.60,26.34%,57.78%,42.22%,89.69%,0,0,.64,1.955
.42,.07,-.03,.08,.02,1.54,26.25%,38.63%,61.37%,81.85%,0,5,0,1.54,1.52,1.56,NOV5 13,71,2.73,2.95,-.58,.07,-.04,.08,-.04,2.84,25.67%,61.56%,38.44%,81.45%,0,0,1.14,1.70
.38,.07,-.03,.08,.02,1.35,26.18%,35.14%,64.86%,74.28%,0,4,0,1.35,1.33,1.37,NOV5 13,71.5,3.00,3.30,-.62,.07,-.04,.08,-.04,3.15,25.58%,65.13%,34.87%,73.71%,0,0,1.64,1.51
.35,.07,-.03,.07,.02,1.18,26.15%,31.80%,68.20%,67.07%,5,9,0,1.18,1.16,1.20,NOV5 13,72,3.45,3.55,-.65,.07,-.04,.07,-.04,3.50,25.80%,68.40%,31.60%,66.65%,0,13,2.14,1.36
.31,.07,-.03,.07,.02,1.02,26.04%,28.55%,71.45%,60.10%,8,8,0,1.02,1.00,1.04,NOV5 13,72.5,3.80,3.90,-.69,.07,-.03,.07,-.04,3.85,25.80%,71.60%,28.40%,59.78%,0,10,2.64,1.21
.28,.06,-.03,.07,.02,.89,26.12%,25.62%,74.38%,53.82%,0,2,0,.89,.87,.91,NOV5 13,73,4.05,4.40,-.72,.06,-.03,.07,-.05,4.23,25.94%,74.51%,25.49%,53.55%,0,0,3.14,1.085

DEC 13  (51)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.93,.00,-.01,.03,.01,19.90,56.25%,92.72%,7.28%,13.84%,0,0,19.86,.04,18.15,21.65,DEC 13,50,0,.06,-.01,.00,.00,.01,.00,.03,38.05%,1.27%,98.73%,2.46%,0,0,0,.03
1.00,.00,.00,.00,.00,14.86,--,100.00%,0.00%,,0,0,14.86,-.06,13.00,16.60,DEC 13,55,.04,.07,-.02,.01,.00,.01,.00,.06,30.75%,2.40%,97.60%,4.66%,0,67,0,.055
.94,.02,-.01,.03,.02,9.93,26.79%,92.28%,7.72%,14.91%,8,11,9.86,.065,9.85,10.00,DEC 13,60,.28,.31,-.08,.02,-.01,.04,-.01,.30,29.36%,9.84%,90.16%,18.97%,7,308,0,.295
.87,.03,-.01,.06,.05,7.75,28.11%,83.34%,16.66%,31.97%,0,45,7.36,.39,7.70,7.80,DEC 13,62.5,.57,.60,-.14,.03,-.02,.06,-.02,.59,28.55%,17.07%,82.93%,32.74%,10,247,0,.585
.77,.04,-.02,.08,.05,5.75,27.79%,72.78%,27.22%,51.92%,66,769,4.86,.89,5.70,5.80,DEC 13,65,1.08,1.10,-.24,.04,-.02,.08,-.03,1.09,27.92%,27.33%,72.67%,52.13%,240,"1,920",0,1.09
.64,.05,-.02,.10,.05,4.05,27.50%,59.87%,40.13%,76.01%,106,329,2.36,1.69,4.00,4.10,DEC 13,67.5,1.87,1.89,-.36,.05,-.03,.10,-.04,1.88,27.39%,40.07%,59.93%,75.91%,200,"2,824",0,1.88
.50,.06,-.03,.10,.04,2.66,26.92%,46.00%,54.00%,98.27%,588,"1,036",0,2.66,2.65,2.67,DEC 13,70,2.97,3.05,-.50,.06,-.03,.10,-.05,3.01,26.95%,54.00%,46.00%,98.27%,33,207,.14,2.87
.36,.05,-.02,.10,.03,1.63,26.46%,32.56%,67.44%,68.87%,32,766,0,1.63,1.61,1.65,DEC 13,72.5,4.40,4.50,-.64,.05,-.03,.10,-.07,4.45,26.16%,67.58%,32.42%,68.55%,29,77,2.64,1.81
.24,.05,-.02,.08,.02,.94,26.16%,21.20%,78.80%,44.49%,109,847,0,.935,.92,.95,DEC 13,75,6.20,6.35,-.76,.05,-.02,.08,-.08,6.28,26.04%,78.89%,21.11%,44.29%,0,12,5.14,1.135
.15,.03,-.01,.06,.01,.50,26.00%,12.75%,87.25%,26.60%,0,669,0,.505,.49,.52,DEC 13,77.5,8.05,8.80,-.84,.03,-.02,.06,-.10,8.43,27.13%,86.32%,13.68%,28.57%,0,0,7.64,.785
.09,.02,-.01,.04,.01,.27,26.10%,7.26%,92.74%,15.08%,2,293,0,.265,.25,.28,DEC 13,80,9.15,12.10,-.91,.02,-.01,.04,-.11,10.63,26.37%,92.54%,7.46%,15.49%,0,0,10.14,.485
.03,.01,-.01,.02,.00,.09,27.85%,2.57%,97.43%,5.31%,0,0,0,.09,.05,.13,DEC 13,85,13.45,17.30,-.98,.01,-.01,.01,-.12,15.38,23.38%,98.93%,1.07%,2.19%,0,0,15.14,.235

JAN 14  (79)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.93,.00,-.01,.03,.02,17.40,38.14%,93.27%,6.73%,12.89%,"1,505","3,033",17.36,.04,17.25,17.55,JAN 14,52.5,.09,.12,-.03,.01,.00,.02,.00,.11,32.14%,3.54%,96.46%,6.84%,0,"3,309",0,.105
.94,.00,-.01,.03,.02,14.87,30.92%,94.08%,5.92%,11.40%,112,"3,564",14.86,.015,14.80,14.95,JAN 14,55,.17,.19,-.04,.01,-.01,.03,-.01,.18,30.55%,5.67%,94.33%,10.94%,3,"10,742",0,.18
.93,.01,-.01,.04,.04,12.50,28.74%,91.32%,8.68%,16.71%,10,"2,960",12.36,.14,12.45,12.55,JAN 14,57.5,.33,.35,-.07,.01,-.01,.05,-.01,.34,29.81%,9.56%,90.44%,18.38%,3,"12,916",0,.34
.89,.02,-.01,.06,.07,10.25,28.14%,85.75%,14.25%,27.34%,43,"6,349",9.86,.39,10.20,10.30,JAN 14,60,.60,.62,-.12,.02,-.01,.07,-.02,.61,29.16%,15.22%,84.78%,29.16%,801,"3,780",0,.61
.81,.03,-.01,.09,.08,8.20,28.22%,77.54%,22.46%,42.86%,27,"6,667",7.36,.84,8.15,8.25,JAN 14,62.5,.99,1.02,-.19,.03,-.02,.09,-.03,1.01,28.23%,22.47%,77.53%,42.87%,4,"2,736",0,1.005
.73,.04,-.02,.11,.08,6.30,27.55%,68.23%,31.77%,60.33%,17,"9,416",4.86,1.44,6.25,6.35,JAN 14,65,1.60,1.64,-.27,.04,-.02,.11,-.05,1.62,27.62%,31.83%,68.17%,60.43%,45,"3,126",0,1.62
.62,.04,-.02,.12,.08,4.68,27.15%,57.37%,42.63%,80.45%,28,"4,970",2.36,2.315,4.65,4.70,JAN 14,67.5,2.47,2.50,-.38,.04,-.02,.12,-.06,2.49,27.08%,42.59%,57.41%,80.39%,105,"2,606",0,2.485
.51,.05,-.02,.13,.07,3.30,26.54%,46.03%,53.97%,98.58%,88,"6,386",0,3.30,3.25,3.35,JAN 14,70,3.60,3.65,-.49,.05,-.02,.13,-.08,3.62,26.56%,53.97%,46.03%,98.58%,107,402,.14,3.485
.40,.04,-.02,.13,.05,2.25,26.25%,35.01%,64.99%,74.32%,"1,027","2,119",0,2.25,2.24,2.26,JAN 14,72.5,5.00,5.10,-.60,.05,-.02,.13,-.10,5.05,26.07%,65.06%,34.94%,74.16%,3,125,2.64,2.41
.29,.04,-.02,.11,.04,1.48,26.10%,25.33%,74.67%,53.40%,323,"1,916",0,1.48,1.46,1.50,JAN 14,75,6.75,6.85,-.70,.04,-.02,.11,-.12,6.80,26.07%,74.69%,25.31%,53.36%,160,179,5.14,1.66
.21,.03,-.01,.09,.03,.94,25.96%,17.44%,82.56%,36.56%,208,151,0,.935,.92,.95,JAN 14,77.5,8.70,8.80,-.79,.03,-.02,.09,-.14,8.75,25.89%,82.62%,17.38%,36.43%,0,72,7.64,1.11
.14,.03,-.01,.07,.02,.57,25.80%,11.41%,88.59%,23.80%,13,"1,232",0,.565,.55,.58,JAN 14,80,10.85,10.95,-.86,.03,-.01,.07,-.15,10.90,26.00%,88.43%,11.57%,24.15%,0,55,10.14,.76
.06,.01,-.01,.04,.01,.20,25.99%,4.50%,95.50%,9.32%,20,696,0,.20,.19,.21,JAN 14,85,14.05,16.65,-.98,.01,.00,.01,-.18,15.35,19.15%,98.82%,1.18%,2.43%,0,48,15.14,.21
