thinkBack: Stock quote and option quote for EBAY on 10/26/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
51.635,-.705,"15,838,077",52.59,52.92,51.05

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

OCT4 13  (0)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.00,.00,.00,.00,.00,.01,61.36%,0.14%,99.86%,0.29%,0,2,0,.005,0,.01,NOV 13,80,26.55,30.00,-1.00,.00,.00,.00,.00,28.36,--,100.00%,0.00%,,0,0,28.365,-.09

DEC 13  (56)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.05,21.65,46.93%,99.77%,0.23%,0.44%,0,0,21.635,.015,20.00,23.30,DEC 13,30,0,.02,.00,.00,.00,.00,.00,.01,51.91%,0.54%,99.46%,1.05%,0,18,0,.01
.92,.01,-.02,.03,.05,17.28,77.57%,86.80%,13.20%,24.63%,0,52,16.635,.64,16.45,18.10,DEC 13,35,0,.03,-.01,.00,.00,.00,.00,.02,40.01%,0.86%,99.14%,1.67%,0,0,0,.015
.99,.01,.00,.01,.06,11.68,29.21%,98.45%,1.55%,3.03%,0,46,11.635,.04,11.60,11.75,DEC 13,40,.03,.05,-.02,.01,.00,.01,.00,.04,31.36%,2.26%,97.74%,4.43%,48,10,0,.04
.91,.03,-.01,.03,.06,6.88,26.54%,89.67%,10.33%,20.20%,52,132,6.635,.24,6.80,6.95,DEC 13,45,.19,.21,-.08,.03,-.01,.03,-.01,.20,25.82%,9.66%,90.34%,18.91%,229,"2,299",0,.20
1.00,.00,.00,.00,.08,2.65,--,100.00%,0.00%,0.00%,0,15,2.635,-.66,0,3.95,DEC 13,49,.85,.99,-.28,.07,-.01,.07,-.02,.92,24.85%,31.26%,68.74%,60.79%,0,0,0,.92
.66,.08,-.02,.08,.05,2.81,23.26%,62.11%,37.89%,73.68%,"1,022","1,939",1.635,1.17,2.78,2.83,DEC 13,50,1.10,1.13,-.34,.08,-.01,.07,-.03,1.12,22.79%,37.57%,62.43%,73.12%,930,"11,288",0,1.115
.45,.09,-.02,.08,.03,1.46,22.52%,41.03%,58.97%,84.54%,"1,599","3,463",0,1.455,1.44,1.47,DEC 13,52.5,2.25,2.29,-.56,.09,-.02,.08,-.05,2.27,22.14%,59.06%,40.94%,84.30%,355,"1,914",.865,1.405
.25,.07,-.01,.06,.02,.65,22.12%,22.32%,77.68%,45.68%,816,"5,032",0,.645,.63,.66,DEC 13,55,3.90,4.00,-.76,.07,-.01,.06,-.06,3.95,21.52%,78.25%,21.75%,44.49%,21,"1,263",3.365,.585
.12,.04,-.01,.04,.01,.26,22.31%,10.38%,89.62%,21.16%,686,"8,665",0,.26,.25,.27,DEC 13,57.5,6.05,6.20,-.87,.04,-.01,.04,-.05,6.13,22.94%,89.03%,10.97%,22.39%,0,225,5.865,.26
.06,.02,.00,.02,.00,.11,23.24%,4.67%,95.33%,9.52%,518,"3,841",0,.11,.10,.12,DEC 13,60,8.40,8.55,-.91,.02,-.01,.03,-.04,8.48,25.00%,94.13%,5.87%,11.97%,0,246,8.365,.11
.03,.01,.00,.01,.00,.05,24.06%,2.00%,98.00%,4.07%,192,"5,971",0,.045,.04,.05,DEC 13,62.5,9.75,12.20,-.91,.01,-.01,.03,-.04,10.98,30.97%,94.73%,5.27%,10.82%,0,36,10.865,.11
.01,.01,.00,.01,.00,.02,25.13%,0.90%,99.10%,1.83%,0,210,0,.02,.01,.03,DEC 13,65,13.30,14.90,-.83,.02,-.02,.05,-.06,14.10,52.43%,88.74%,11.26%,23.73%,0,0,13.365,.735
.01,.00,.00,.00,.00,.01,30.81%,0.53%,99.47%,1.07%,0,271,0,.015,.01,.02,DEC 13,70,17.25,18.60,-1.00,.00,.00,.00,.00,18.36,--,100.00%,0.00%,,0,16,18.365,-.44
.01,.00,.00,.00,.00,.02,36.90%,0.43%,99.57%,0.87%,0,180,0,.015,.01,.02,DEC 13,75,21.45,25.05,-1.00,.00,.00,.00,.00,23.36,--,100.00%,0.00%,,0,0,23.365,-.115

JAN 14  (84)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.99,.00,.00,.01,.05,28.75,82.12%,96.75%,3.25%,6.07%,0,140,28.635,.115,26.55,30.95,JAN 14,23,0,.02,.00,.00,.00,.00,.00,.01,61.70%,0.51%,99.49%,0.97%,0,"1,701",0,.01
1.00,.00,.00,.00,.06,26.65,--,100.00%,0.00%,0.00%,0,431,26.635,-.835,24.80,26.80,JAN 14,25,0,.02,.00,.00,.00,.00,.00,.01,55.90%,0.53%,99.47%,1.02%,0,"2,607",0,.01
.99,.00,.00,.00,.07,21.68,46.58%,98.95%,1.05%,2.03%,0,703,21.635,.04,21.60,21.75,JAN 14,30,.01,.03,-.01,.00,.00,.00,.00,.02,45.92%,0.96%,99.04%,1.85%,0,"2,860",0,.02
.92,.01,-.01,.04,.07,17.25,62.66%,87.23%,12.77%,23.86%,15,"1,077",16.635,.615,16.60,17.90,JAN 14,35,.05,.06,-.02,.00,.00,.01,.00,.06,38.90%,2.38%,97.62%,4.60%,0,"4,453",0,.055
.96,.01,.00,.02,.09,11.80,32.01%,94.30%,5.70%,11.07%,126,"3,578",11.635,.165,11.70,11.90,JAN 14,40,.14,.15,-.04,.01,.00,.02,-.01,.15,32.16%,5.80%,94.20%,11.25%,8,"6,837",0,.145
.86,.03,-.01,.05,.09,7.18,27.92%,83.10%,16.90%,32.72%,58,"3,740",6.635,.54,7.10,7.25,JAN 14,45,.51,.54,-.14,.03,-.01,.06,-.02,.53,28.12%,17.09%,82.91%,33.09%,189,"11,820",0,.525
.63,.06,-.01,.09,.07,3.48,26.17%,57.78%,42.22%,81.06%,"2,297","3,676",1.635,1.84,3.40,3.55,JAN 14,50,1.75,1.80,-.37,.06,-.01,.09,-.05,1.78,25.80%,42.03%,57.97%,80.76%,909,"19,221",0,1.775
.47,.06,-.01,.10,.05,2.14,25.28%,42.37%,57.63%,88.47%,980,"11,190",0,2.135,2.11,2.16,JAN 14,52.5,2.92,2.95,-.53,.06,-.01,.10,-.07,2.94,24.92%,57.67%,42.33%,88.32%,865,"5,007",.865,2.07
.32,.06,-.01,.09,.04,1.21,24.74%,27.97%,72.03%,57.95%,"2,534","11,413",0,1.21,1.19,1.23,JAN 14,55,4.45,4.55,-.68,.06,-.01,.09,-.08,4.50,24.25%,72.35%,27.65%,57.24%,163,"4,926",3.365,1.135
.20,.05,-.01,.07,.02,.66,24.72%,16.93%,83.07%,34.91%,859,"11,548",0,.655,.64,.67,JAN 14,57.5,6.40,6.55,-.80,.04,-.01,.07,-.09,6.48,24.58%,83.19%,16.81%,34.64%,0,"2,509",5.865,.61
.12,.03,-.01,.05,.01,.33,24.67%,9.41%,90.59%,19.32%,209,"14,817",0,.33,.32,.34,JAN 14,60,8.55,8.75,-.88,.03,-.01,.05,-.08,8.65,24.68%,90.58%,9.42%,19.34%,100,"2,148",8.365,.285
.06,.02,.00,.03,.01,.16,24.61%,4.82%,95.18%,9.86%,94,"2,248",0,.155,.14,.17,JAN 14,62.5,10.85,11.10,-.91,.01,-.01,.04,-.06,10.98,25.49%,94.62%,5.38%,11.02%,0,"1,092",10.865,.11
.03,.01,.00,.02,.00,.07,24.66%,2.33%,97.67%,4.76%,34,"4,365",0,.07,.06,.08,JAN 14,65,12.20,13.55,-1.00,.00,.00,.00,.00,13.36,--,100.00%,0.00%,,0,"1,035",13.365,-.49
.27,.02,-.03,.08,.03,2.50,71.09%,17.08%,82.92%,37.82%,0,4,0,2.50,0,5.00,JAN 14,67.5,11.80,16.85,-1.00,.00,.00,.00,.00,15.86,--,100.00%,0.00%,,0,0,15.865,-1.54

APR 14  (175)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.14,21.67,--,100.00%,0.00%,0.00%,0,17,21.635,-.435,20.25,22.15,APR 14,30,.03,.06,-.01,.00,.00,.01,.00,.05,35.41%,1.82%,98.18%,3.50%,0,329,0,.045
.96,.01,.00,.03,.16,16.88,33.78%,93.90%,6.10%,11.66%,12,31,16.635,.24,16.75,17.00,APR 14,35,.15,.17,-.03,.01,.00,.03,-.01,.16,32.40%,5.25%,94.75%,10.05%,12,247,0,.16
.91,.02,-.01,.06,.17,12.20,30.37%,86.68%,13.32%,25.41%,18,200,11.635,.565,12.10,12.30,APR 14,40,.49,.52,-.09,.02,-.01,.06,-.03,.51,30.17%,13.13%,86.87%,25.06%,30,"2,964",0,.505
.79,.03,-.01,.10,.16,8.08,28.80%,72.38%,27.62%,52.33%,13,155,6.635,1.44,8.00,8.15,APR 14,45,1.29,1.32,-.21,.03,-.01,.10,-.06,1.31,28.01%,26.89%,73.11%,51.04%,313,"6,867",0,1.305
.61,.04,-.01,.14,.13,4.73,27.19%,53.29%,46.71%,87.73%,154,867,1.635,3.09,4.65,4.80,APR 14,50,2.93,2.99,-.39,.04,-.01,.14,-.11,2.96,26.67%,46.51%,53.49%,87.46%,122,"2,691",0,2.96
.50,.04,-.01,.14,.11,3.45,26.67%,43.02%,56.98%,92.11%,119,"1,674",0,3.45,3.40,3.50,APR 14,52.5,4.15,4.25,-.50,.04,-.01,.14,-.13,4.20,26.30%,56.97%,43.03%,92.01%,186,"2,421",.865,3.335
.40,.04,-.01,.14,.09,2.45,26.29%,33.34%,66.66%,70.77%,229,"3,077",0,2.445,2.42,2.47,APR 14,55,5.60,5.75,-.60,.04,-.01,.14,-.16,5.68,25.78%,66.84%,33.16%,70.29%,10,918,3.365,2.31
.31,.04,-.01,.13,.07,1.69,26.06%,24.87%,75.13%,52.45%,874,"1,235",0,1.69,1.67,1.71,APR 14,57.5,7.35,7.50,-.69,.04,-.01,.13,-.17,7.43,25.56%,75.43%,24.57%,51.73%,85,224,5.865,1.56
.23,.03,-.01,.11,.05,1.14,25.85%,17.89%,82.11%,37.51%,153,878,0,1.135,1.12,1.15,APR 14,60,9.30,9.45,-.77,.03,-.01,.11,-.18,9.38,25.38%,82.47%,17.53%,36.71%,0,259,8.365,1.01
.17,.03,-.01,.09,.04,.76,25.82%,12.54%,87.46%,26.19%,0,664,0,.755,.74,.77,APR 14,62.5,11.30,12.05,-.81,.02,-.01,.09,-.18,11.67,27.35%,86.31%,13.69%,28.71%,0,258,10.865,.81
.12,.02,-.01,.07,.03,.50,25.83%,8.59%,91.41%,17.88%,1,606,0,.495,.48,.51,APR 14,65,13.00,14.45,-.87,.02,.00,.07,-.15,13.73,25.45%,91.69%,8.31%,17.29%,0,47,13.365,.36
.06,.01,.00,.04,.01,.21,25.93%,3.80%,96.20%,7.88%,5,"2,200",0,.205,.19,.22,APR 14,70,17.25,19.75,-.89,.01,.00,.06,-.12,18.50,28.56%,94.82%,5.18%,10.79%,0,124,18.365,.135
.03,.01,.00,.02,.01,.09,26.45%,1.71%,98.29%,3.53%,0,120,0,.09,.08,.10,APR 14,75,22.30,24.75,-.87,.00,-.01,.06,-.12,23.53,35.73%,94.78%,5.22%,11.01%,0,30,23.365,.16

JAN 15  (448)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.89,.01,.00,.11,.35,17.93,33.64%,80.63%,19.37%,35.47%,0,770,16.635,1.29,17.80,18.05,JAN 15,35,.93,.98,-.10,.01,.00,.10,-.07,.96,31.41%,17.07%,82.93%,31.53%,0,"3,041",0,.955
.85,.01,.00,.13,.35,15.43,32.25%,75.40%,24.60%,44.96%,9,118,13.635,1.79,15.30,15.55,JAN 15,38,1.41,1.47,-.14,.01,.00,.13,-.10,1.44,30.45%,22.71%,77.29%,41.79%,12,"5,524",0,1.44
.82,.01,-.01,.15,.35,13.85,31.47%,71.43%,28.57%,52.11%,24,499,11.635,2.215,13.75,13.95,JAN 15,40,1.85,1.89,-.17,.01,.00,.15,-.13,1.87,29.97%,27.04%,72.96%,49.62%,27,"1,828",0,1.87
.76,.02,-.01,.18,.34,11.65,30.49%,64.86%,35.14%,63.86%,4,126,8.635,3.015,11.55,11.75,JAN 15,43,2.60,2.68,-.23,.02,-.01,.17,-.17,2.64,29.09%,33.89%,66.11%,61.92%,4,"7,062",0,2.64
.72,.02,-.01,.19,.33,10.33,30.06%,60.08%,39.92%,72.30%,15,692,6.635,3.69,10.25,10.40,JAN 15,45,3.20,3.35,-.27,.02,-.01,.19,-.20,3.27,28.60%,38.79%,61.21%,70.66%,30,"3,662",0,3.275
.68,.02,-.01,.21,.32,9.05,29.43%,55.35%,44.65%,80.63%,1,308,4.635,4.415,8.95,9.15,JAN 15,47,3.95,4.10,-.32,.02,-.01,.20,-.24,4.03,28.22%,43.88%,56.12%,79.64%,2,"3,105",0,4.025
.61,.02,-.01,.22,.29,7.37,28.82%,48.03%,51.97%,93.30%,134,"2,221",1.635,5.74,7.30,7.45,JAN 15,50,5.30,5.40,-.39,.02,-.01,.22,-.29,5.35,27.74%,51.56%,48.44%,92.98%,22,"6,601",0,5.35
.55,.02,-.01,.23,.27,6.17,28.48%,42.04%,57.96%,95.02%,55,"3,111",0,6.175,6.10,6.25,JAN 15,52.5,6.55,6.70,-.46,.03,-.01,.23,-.34,6.62,27.34%,57.78%,42.22%,94.85%,23,"2,780",.865,5.76
.49,.02,-.01,.23,.25,5.13,28.15%,36.37%,63.63%,81.40%,174,"2,359",0,5.125,5.05,5.20,JAN 15,55,8.00,8.15,-.52,.03,-.01,.23,-.38,8.07,27.05%,63.69%,36.31%,80.79%,10,808,3.365,4.71
.43,.02,-.01,.22,.22,4.25,28.00%,31.14%,68.86%,69.14%,2,"1,254",0,4.25,4.20,4.30,JAN 15,57.5,9.60,9.80,-.58,.03,-.01,.22,-.41,9.70,26.92%,69.13%,30.87%,68.18%,0,434,5.865,3.835
.37,.02,-.01,.22,.19,3.48,27.73%,26.37%,73.63%,58.11%,0,"3,129",0,3.475,3.40,3.55,JAN 15,60,11.35,11.55,-.63,.02,-.01,.21,-.44,11.45,26.76%,74.02%,25.98%,56.98%,10,"2,179",8.365,3.085
.32,.02,-.01,.21,.17,2.85,27.63%,22.17%,77.83%,48.57%,4,938,0,2.85,2.81,2.89,JAN 15,62.5,13.20,13.40,-.69,.02,-.01,.20,-.46,13.30,26.54%,78.40%,21.60%,47.08%,0,112,10.865,2.435
.28,.02,-.01,.19,.15,2.33,27.56%,18.51%,81.49%,40.35%,56,"2,163",0,2.33,2.29,2.37,JAN 15,65,15.20,15.40,-.73,.02,-.01,.19,-.47,15.30,26.57%,82.08%,17.92%,38.89%,0,151,13.365,1.935
