thinkBack: Stock quote and option quote for EBAY on 10/30/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
53.34,+1.37,"12,253,291",52.29,53.37,52.08

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (3)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.04,23.35,--,100.00%,0.00%,0.00%,0,0,23.34,-.415,20.90,24.95,DEC 13,30,0,.02,.00,.00,.00,.00,.00,.01,56.67%,0.52%,99.48%,1.01%,0,18,0,.01
.99,.00,.00,.00,.05,18.38,46.64%,98.88%,1.12%,2.17%,0,91,18.34,.035,18.35,18.40,DEC 13,35,0,.03,-.01,.00,.00,.00,.00,.02,44.50%,0.81%,99.19%,1.58%,0,0,0,.015
1.00,.00,.00,.00,.06,13.35,0.00%,100.00%,0.00%,0.00%,0,46,13.34,.01,13.30,13.40,DEC 13,40,.01,.03,-.01,.00,.00,.00,.00,.02,32.61%,1.20%,98.80%,2.35%,0,58,0,.02
.96,.02,.00,.02,.06,8.45,26.54%,94.90%,5.10%,10.01%,90,172,8.34,.11,8.40,8.50,DEC 13,45,.08,.09,-.04,.02,.00,.02,.00,.09,26.04%,4.77%,95.23%,9.36%,31,"2,413",0,.085
1.00,.00,.00,.00,.07,4.36,--,100.00%,0.00%,0.00%,0,15,4.34,-2.365,0,3.95,DEC 13,49,.85,.99,-.23,.05,-.02,.06,-.02,.92,32.48%,26.54%,73.46%,51.28%,0,0,0,.92
.78,.06,-.01,.06,.05,3.98,23.27%,75.47%,24.53%,47.94%,420,"2,901",3.34,.635,3.95,4.00,DEC 13,50,.59,.61,-.22,.06,-.01,.06,-.02,.60,22.98%,24.23%,75.77%,47.37%,"2,447","12,466",0,.60
.59,.09,-.02,.08,.04,2.24,22.12%,55.99%,44.01%,85.65%,"1,548","5,177",.84,1.40,2.23,2.25,DEC 13,52.5,1.37,1.39,-.41,.09,-.02,.08,-.03,1.38,22.10%,44.01%,55.99%,85.64%,629,"1,985",0,1.38
.37,.09,-.02,.08,.03,1.07,21.45%,34.04%,65.96%,69.79%,"2,272","6,348",0,1.065,1.06,1.07,DEC 13,55,2.69,2.72,-.63,.09,-.02,.08,-.05,2.71,21.45%,65.97%,34.03%,69.79%,188,"1,293",1.66,1.045
.19,.06,-.01,.06,.01,.44,21.41%,16.93%,83.07%,34.54%,437,"8,974",0,.44,.43,.45,DEC 13,57.5,4.55,4.60,-.81,.06,-.01,.06,-.05,4.58,21.34%,83.15%,16.85%,34.38%,1,232,4.16,.415
.09,.04,-.01,.03,.01,.17,21.88%,7.37%,92.63%,14.99%,33,"4,368",0,.17,.16,.18,DEC 13,60,6.80,6.85,-.90,.03,-.01,.04,-.05,6.83,22.65%,91.96%,8.04%,16.37%,0,248,6.66,.165
.04,.02,.00,.02,.00,.07,22.64%,3.03%,96.97%,6.16%,9,"5,882",0,.065,.06,.07,DEC 13,62.5,9.10,9.45,-.91,.02,-.01,.03,-.04,9.28,27.19%,94.28%,5.72%,11.69%,0,36,9.16,.115
.02,.01,.00,.01,.00,.03,23.45%,1.21%,98.79%,2.46%,10,210,0,.025,.02,.03,DEC 13,65,11.60,11.95,-.91,.01,-.01,.03,-.04,11.78,33.17%,94.79%,5.21%,10.70%,0,0,11.66,.115
.01,.00,.00,.00,.00,.01,27.76%,0.44%,99.56%,0.89%,0,271,0,.01,0,.02,DEC 13,70,16.60,16.75,-.91,.00,-.01,.03,-.03,16.68,41.76%,96.29%,3.71%,7.66%,0,16,16.66,.015
.00,.00,.00,.00,.00,0,31.44%,0.18%,99.82%,0.38%,0,180,0,.005,0,.01,DEC 13,75,19.85,24.00,-.87,.01,-.02,.04,-.04,21.93,61.35%,94.22%,5.78%,12.18%,0,0,21.66,.265

JAN 14  (80)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.06,28.35,--,100.00%,0.00%,0.00%,0,431,28.34,-.24,25.90,30.30,JAN 14,25,0,.02,.00,.00,.00,.00,.00,.01,59.20%,0.49%,99.51%,0.95%,0,"2,607",0,.01
1.00,.00,.00,.00,.07,23.38,48.93%,99.14%,0.86%,1.65%,20,700,23.34,.035,23.35,23.40,JAN 14,30,.01,.03,.00,.00,.00,.00,.00,.02,49.42%,0.92%,99.08%,1.77%,0,"2,860",0,.02
.99,.00,.00,.00,.08,18.38,36.18%,99.16%,0.84%,1.64%,70,"1,077",18.34,.035,18.30,18.45,JAN 14,35,.03,.04,-.01,.00,.00,.01,.00,.04,39.96%,1.59%,98.41%,3.07%,25,"4,453",0,.035
.97,.01,.00,.02,.09,13.45,32.94%,96.26%,3.74%,7.28%,44,"3,607",13.34,.11,13.40,13.50,JAN 14,40,.09,.10,-.03,.01,.00,.02,.00,.10,33.40%,3.97%,96.03%,7.70%,11,"6,858",0,.095
.91,.02,-.01,.04,.09,8.68,28.31%,88.74%,11.26%,21.87%,15,"3,743",8.34,.335,8.65,8.70,JAN 14,45,.30,.32,-.09,.02,-.01,.04,-.01,.31,28.31%,11.26%,88.74%,21.87%,36,"11,881",0,.31
.73,.05,-.01,.08,.08,4.53,25.65%,68.42%,31.58%,61.01%,254,"6,014",3.34,1.185,4.50,4.55,JAN 14,50,1.14,1.16,-.27,.05,-.01,.08,-.03,1.15,25.56%,31.50%,68.50%,60.87%,"2,036","19,400",0,1.15
.58,.06,-.02,.10,.06,2.92,24.78%,53.29%,46.71%,89.82%,983,"11,835",.84,2.08,2.91,2.93,JAN 14,52.5,2.04,2.06,-.42,.06,-.01,.10,-.05,2.05,24.76%,46.71%,53.29%,89.81%,845,"4,431",0,2.05
.42,.06,-.01,.10,.05,1.74,24.24%,37.42%,62.58%,77.71%,"2,569","12,870",0,1.735,1.72,1.75,JAN 14,55,3.35,3.40,-.58,.06,-.01,.10,-.07,3.38,24.34%,62.55%,37.45%,77.80%,324,"5,816",1.66,1.715
.27,.06,-.01,.08,.03,.94,23.81%,23.55%,76.45%,48.58%,183,"11,560",0,.94,.93,.95,JAN 14,57.5,5.05,5.10,-.73,.05,-.01,.08,-.08,5.08,23.88%,76.39%,23.61%,48.71%,6,"2,509",4.16,.915
.16,.04,-.01,.06,.02,.48,23.74%,13.49%,86.51%,27.71%,228,"14,796",0,.48,.47,.49,JAN 14,60,7.05,7.15,-.84,.04,-.01,.06,-.08,7.10,23.67%,86.57%,13.43%,27.59%,0,"2,073",6.66,.44
.09,.03,-.01,.04,.01,.24,23.99%,7.29%,92.71%,14.94%,10,"2,234",0,.24,.23,.25,JAN 14,62.5,9.30,9.65,-.87,.03,-.01,.05,-.08,9.47,26.73%,90.61%,9.39%,19.31%,0,"1,092",9.16,.315
.05,.02,.00,.02,.01,.12,24.25%,3.73%,96.27%,7.61%,2,"4,375",0,.115,.11,.12,JAN 14,65,11.70,11.85,-.91,.01,-.01,.04,-.06,11.78,26.97%,94.69%,5.31%,10.89%,28,"1,035",11.66,.115
.28,.02,-.04,.08,.03,2.50,67.14%,18.38%,81.62%,40.42%,0,4,0,2.50,0,5.00,JAN 14,67.5,11.80,16.85,-.90,.01,-.01,.04,-.06,14.33,33.08%,94.36%,5.64%,11.66%,0,0,14.16,.165
.01,.01,.00,.01,.00,.03,25.49%,1.02%,98.98%,2.08%,0,"2,620",0,.03,.02,.04,JAN 14,70,15.90,16.95,-1.00,.00,.00,.00,.00,16.66,--,100.00%,0.00%,,0,224,16.66,-.235

APR 14  (171)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.14,23.38,--,100.00%,0.00%,0.00%,0,17,23.34,-.015,21.80,24.85,APR 14,30,.03,.04,-.01,.00,.00,.01,.00,.04,36.35%,1.44%,98.56%,2.76%,140,329,0,.035
.98,.00,.00,.02,.16,18.50,33.07%,95.98%,4.02%,7.71%,0,31,18.34,.16,18.40,18.60,APR 14,35,.10,.12,-.02,.00,.00,.02,-.01,.11,32.63%,3.80%,96.20%,7.29%,0,255,0,.11
.93,.01,.00,.05,.17,13.75,30.39%,90.00%,10.00%,19.15%,5,224,13.34,.41,13.70,13.80,APR 14,40,.33,.35,-.07,.01,.00,.05,-.02,.34,29.91%,9.59%,90.41%,18.37%,333,"2,974",0,.34
.83,.02,-.01,.09,.17,9.40,28.55%,78.11%,21.89%,41.66%,586,165,8.34,1.06,9.35,9.45,APR 14,45,.93,.96,-.16,.02,-.01,.09,-.04,.95,27.86%,21.19%,78.81%,40.39%,39,"6,931",0,.945
.67,.04,-.01,.13,.14,5.70,26.63%,60.60%,39.40%,74.49%,221,986,3.34,2.36,5.65,5.75,APR 14,50,2.27,2.29,-.33,.04,-.01,.13,-.09,2.28,26.47%,39.29%,60.71%,74.32%,526,"2,769",0,2.28
.57,.04,-.01,.14,.12,4.25,26.15%,50.21%,49.79%,93.62%,852,"1,717",.84,3.41,4.20,4.30,APR 14,52.5,3.30,3.35,-.43,.04,-.01,.14,-.12,3.32,25.99%,49.74%,50.26%,93.57%,352,"2,521",0,3.325
.47,.04,-.01,.15,.10,3.08,25.81%,39.94%,60.06%,85.01%,644,"3,222",0,3.075,3.05,3.10,APR 14,55,4.60,4.65,-.53,.04,-.01,.15,-.14,4.62,25.49%,60.10%,39.90%,84.85%,67,909,1.66,2.965
.37,.04,-.01,.14,.08,2.16,25.54%,30.53%,69.47%,64.50%,389,"1,751",0,2.16,2.14,2.18,APR 14,57.5,6.15,6.25,-.63,.04,-.01,.14,-.16,6.20,25.15%,69.66%,30.34%,64.04%,101,265,4.16,2.04
.28,.04,-.01,.12,.06,1.48,25.34%,22.46%,77.54%,47.17%,97,998,0,1.475,1.46,1.49,APR 14,60,8.00,8.10,-.72,.04,-.01,.12,-.18,8.05,25.22%,77.63%,22.37%,46.98%,0,269,6.66,1.39
.21,.03,-.01,.10,.05,.99,25.23%,15.98%,84.02%,33.40%,0,664,0,.985,.97,1.00,APR 14,62.5,9.95,10.15,-.79,.03,-.01,.10,-.18,10.05,25.05%,84.16%,15.84%,33.10%,0,258,9.16,.89
.15,.02,-.01,.08,.03,.65,25.17%,11.04%,88.96%,22.99%,107,606,0,.645,.63,.66,APR 14,65,10.80,13.50,-.85,.02,-.01,.08,-.17,12.15,24.38%,89.58%,10.42%,21.65%,0,47,11.66,.49
.07,.01,.00,.05,.02,.27,25.29%,4.99%,95.01%,10.33%,50,"2,205",0,.27,.26,.28,APR 14,70,16.00,18.80,-.83,.02,-.01,.09,-.17,17.40,34.19%,89.81%,10.19%,21.58%,0,124,16.66,.74
.03,.01,.00,.03,.01,.12,25.89%,2.27%,97.73%,4.69%,130,120,0,.12,.11,.13,APR 14,75,20.85,24.00,-.83,.01,-.01,.08,-.17,22.43,41.07%,91.09%,8.91%,19.10%,0,30,21.66,.765

JAN 15  (444)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.87,.01,.00,.12,.36,16.88,32.24%,78.33%,21.67%,39.74%,0,127,15.34,1.535,16.80,16.95,JAN 15,38,1.17,1.21,-.12,.01,.00,.12,-.09,1.19,30.32%,19.62%,80.38%,36.25%,26,"5,523",0,1.19
.84,.01,-.01,.14,.36,15.23,31.31%,74.82%,25.18%,46.13%,10,518,13.34,1.885,15.15,15.30,JAN 15,40,1.53,1.57,-.15,.01,.00,.14,-.11,1.55,29.76%,23.54%,76.46%,43.38%,17,"1,855",0,1.55
.79,.02,-.01,.17,.36,12.93,30.31%,68.64%,31.36%,57.25%,0,132,10.34,2.585,12.85,13.00,JAN 15,43,2.21,2.25,-.20,.02,-.01,.16,-.15,2.23,28.96%,30.02%,69.98%,55.11%,7,"7,120",0,2.23
.75,.02,-.01,.19,.35,11.53,29.88%,64.05%,35.95%,65.43%,5,707,8.34,3.185,11.45,11.60,JAN 15,45,2.76,2.83,-.24,.02,-.01,.18,-.18,2.80,28.50%,34.72%,65.28%,63.54%,36,"3,849",0,2.795
.71,.02,-.01,.20,.34,10.18,29.27%,59.47%,40.53%,73.57%,10,309,6.34,3.835,10.10,10.25,JAN 15,47,3.45,3.50,-.28,.02,-.01,.20,-.22,3.47,28.17%,39.70%,60.30%,72.38%,0,"3,107",0,3.475
.65,.02,-.01,.22,.32,8.38,28.65%,52.23%,47.77%,86.24%,21,"2,318",3.34,5.035,8.30,8.45,JAN 15,50,4.65,4.70,-.35,.02,-.01,.22,-.27,4.68,27.69%,47.26%,52.74%,85.67%,48,"7,025",0,4.675
.59,.02,-.01,.23,.29,7.05,28.21%,46.22%,53.78%,96.61%,866,"3,172",.84,6.21,7.00,7.10,JAN 15,52.5,5.80,5.85,-.42,.02,-.01,.23,-.31,5.82,27.22%,53.48%,46.52%,96.46%,5,"2,803",0,5.825
.53,.02,-.01,.23,.27,5.90,27.91%,40.38%,59.62%,90.69%,47,"2,388",0,5.90,5.85,5.95,JAN 15,55,7.15,7.20,-.48,.03,-.01,.23,-.36,7.17,26.96%,59.54%,40.46%,90.43%,20,814,1.66,5.515
.47,.02,-.01,.23,.24,4.90,27.64%,34.87%,65.13%,77.64%,18,"1,255",0,4.90,4.85,4.95,JAN 15,57.5,8.65,8.70,-.54,.03,-.01,.23,-.40,8.67,26.72%,65.24%,34.76%,77.03%,8,434,4.16,4.515
.41,.02,-.01,.23,.22,4.05,27.44%,29.81%,70.19%,65.87%,21,"3,139",0,4.05,4.00,4.10,JAN 15,60,10.30,10.35,-.60,.02,-.01,.23,-.43,10.32,26.54%,70.46%,29.54%,64.97%,28,"2,179",6.66,3.665
.36,.02,-.01,.22,.19,3.33,27.27%,25.24%,74.76%,55.40%,0,970,0,3.325,3.25,3.40,JAN 15,62.5,12.05,12.15,-.65,.02,-.01,.22,-.45,12.10,26.36%,75.16%,24.84%,54.27%,0,112,9.16,2.94
.31,.02,-.01,.21,.17,2.73,27.19%,21.22%,78.78%,46.33%,7,"2,201",0,2.73,2.70,2.76,JAN 15,65,13.95,14.10,-.70,.02,-.01,.20,-.47,14.03,26.38%,79.22%,20.78%,45.19%,0,151,11.66,2.365
.23,.02,-.01,.18,.12,1.81,27.01%,14.68%,85.32%,31.74%,0,994,0,1.81,1.78,1.84,JAN 15,70,18.05,18.20,-.77,.02,.00,.17,-.47,18.13,26.38%,85.73%,14.27%,30.77%,0,379,16.66,1.465
.16,.02,.00,.14,.09,1.21,27.04%,10.01%,89.99%,21.51%,0,"1,024",0,1.205,1.19,1.22,JAN 15,75,22.45,22.60,-.82,.01,.00,.14,-.44,22.53,26.75%,90.17%,9.83%,21.08%,0,312,21.66,.865

JAN 16  (807)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.90,.01,.00,.14,.50,25.48,39.71%,75.44%,24.56%,42.68%,38,327,23.34,2.135,25.30,25.65,JAN 16,30,1.29,1.34,-.08,.01,.00,.12,-.12,1.32,34.71%,19.29%,80.71%,34.32%,0,200,0,1.315
.85,.01,.00,.18,.53,21.45,37.04%,69.12%,30.88%,53.61%,0,179,18.34,3.11,21.30,21.60,JAN 16,35,2.21,2.33,-.13,.01,.00,.17,-.20,2.27,33.38%,27.04%,72.96%,47.80%,10,390,0,2.27
.79,.01,-.01,.23,.54,17.93,35.67%,61.32%,38.68%,66.71%,108,"3,621",13.34,4.585,17.75,18.10,JAN 16,40,3.55,3.65,-.20,.01,.00,.22,-.30,3.60,32.24%,35.49%,64.51%,62.28%,6,681,0,3.60
.73,.01,-.01,.26,.53,14.58,33.70%,53.97%,46.03%,79.13%,98,207,8.34,6.235,14.45,14.70,JAN 16,45,5.25,5.40,-.27,.01,.00,.26,-.40,5.32,31.18%,44.17%,55.83%,76.92%,29,919,0,5.325
.65,.01,-.01,.29,.51,11.80,32.67%,46.08%,53.92%,91.96%,0,514,3.34,8.46,11.70,11.90,JAN 16,50,7.40,7.55,-.35,.02,-.01,.29,-.52,7.47,30.24%,52.74%,47.26%,91.10%,27,95,0,7.475
.61,.01,-.01,.30,.49,10.60,32.32%,42.24%,57.76%,98.04%,0,101,.84,9.76,10.50,10.70,JAN 16,52.5,8.70,8.80,-.39,.02,-.01,.30,-.58,8.75,29.94%,56.93%,43.07%,97.83%,12,232,0,8.75
.57,.02,-.01,.31,.47,9.45,31.85%,38.60%,61.40%,93.35%,4,278,0,9.45,9.35,9.55,JAN 16,55,10.05,10.20,-.43,.02,-.01,.31,-.64,10.12,29.65%,60.93%,39.07%,93.00%,34,199,1.66,8.465
.53,.02,-.01,.32,.44,8.47,31.66%,35.08%,64.92%,84.02%,0,142,0,8.475,8.35,8.60,JAN 16,57.5,11.50,11.65,-.48,.02,-.01,.31,-.69,11.57,29.29%,64.71%,35.29%,83.09%,7,74,4.16,7.415
.50,.02,-.01,.32,.42,7.52,31.28%,31.79%,68.21%,75.36%,7,"1,088",0,7.525,7.45,7.60,JAN 16,60,13.10,13.30,-.51,.02,-.01,.31,-.74,13.20,29.21%,68.27%,31.73%,74.12%,35,"1,036",6.66,6.54
.46,.02,-.01,.32,.39,6.75,31.21%,28.72%,71.28%,67.59%,200,172,0,6.75,6.65,6.85,JAN 16,62.5,14.80,14.95,-.55,.02,-.01,.31,-.78,14.87,29.01%,71.57%,28.43%,65.88%,203,38,9.16,5.715
.42,.02,-.01,.31,.37,5.95,30.82%,25.84%,74.16%,60.27%,0,100,0,5.95,5.85,6.05,JAN 16,65,16.55,16.70,-.59,.02,-.01,.30,-.82,16.62,28.81%,74.62%,25.38%,58.38%,0,79,11.66,4.965
.36,.02,-.01,.30,.32,4.73,30.59%,20.82%,79.18%,47.98%,0,110,0,4.725,4.65,4.80,JAN 16,70,20.30,20.45,-.65,.02,.00,.28,-.87,20.38,28.54%,79.94%,20.06%,45.60%,0,0,16.66,3.715
